City of the Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Approved,,Removed,,,,,,,,,,Business By Congressional District,,,,,,,,,,Servicing Lender State,,,,,,,,,,,,Jobs retained,,,,,,,,% ratio amount/jobs retained,,
,City,Percentage,City,Percentage,,,,,,,,,Congressional District,% Approved,% Removed,,,,,,,,Approved,,Removed,,,,,,,,,,range,% Approved,% Removed,,,,,,range,% Approved,% Removed
1,Atlanta,15.58,Atlanta,16.08,,,,,,,,,GA-1,4.36,3.98,,,,,,,,State,%,State,%,,,,,,,,,1,72.95,96.26,,,,,,1-10000,41.76,18.57
2,Lawrenceville,2.77,Decatur,3.36,,,,,,,,,GA-2,6.78,8.06,,,,,,,1,Georgia,19.45,Texas,25.83,,,,,,,,,2 to 5,14.51,2.09,,,,,,10001-20000,26.61,25.88
3,Decatur,2.77,Lawrenceville,2.87,,,,,,,,,GA-3,7.04,7.77,,,,,,,2,California,13.61,California,22.21,,,,,,,,,6 to 10,7.26,1.12,,,,,,20001-30000,32.03,55.27
4,Marietta,2.21,Stone Mountain,2.59,,,,,,,,,GA-4,11.71,14.17,,,,,,,3,Florida,12.9,Arizona,20.48,,,,,,,,,11 to 20,3.86,0.47,,,,,,30001-50000,0.24,0.31
5,Lithonia,2.05,Lithonia,2.54,,,,,,,,,GA-5,13.82,15.48,,,,,,,4,Arizona,9.68,Pensylvania,10.35,,,,,,,,,21 and more,2.21,0.2,,,,,,50001-More,0.06,0.16
6,Macon,1.95,Marietta,2.26,,,,,,,,,GA-6,7.05,4.23,,,,,,,5,Texas,9.09,Massachusset,6.71,,,,,,,,,,,,,,,,,,,
7,Stone Mountain,1.92,Columbus,2.24,,,,,,,,,GA-7,8.85,6.43,,,,,,,6,New Jersey,8.38,Florida,6.09,,,,,,,,,,,,,,,,,,,
8,Savannah,1.91,Macon,2.14,,,,,,,,,GA-8,5.57,5.49,,,,,,,7,North Carolina,6.5,New York,2.13,,,,,,,,,,,,,,,,,,,
9,Columbus,1.72,Jonesboro,2.11,,,,,,,,,GA-9,3.39,1.88,,,,,,,8,New York,4.52,New Jersey,2.12,,,,,,,,,,,,,,,,,,,
10,Duluth,1.61,Riverdale,1.79,,,,,,,,,GA-10,5.2,5.32,,,,,,,9,Pensylvania,3.86,Georgia,0.81,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,GA-11,6.78,4.84,,,,,,,10,South Dakota,2.67,Virginia,0.34,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,GA-12,4.63,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,GA-13,12.08,15.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City,Approved,Removed,,,,,,,,,,GA-14,2.97,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atlanta,15.58,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lawrenceville,2.77,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Decatur,2.77,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marietta,2.21,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lithonia,2.05,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Macon,1.95,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stone Mountain,1.92,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Savannah,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Columbus,1.72,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duluth,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
